,Amount,MerchantName,MCC,Location,Device,TransactionSpeed,Fraud,Weekday,Hour,Month,is_large_amount,is_slow_transaction
97,280.44,Anderson and Sons,5942,Timothyland,POS,53.66,0,2,2,11,0,0
98,531.69,Bryant-Morgan,5968,South Christina,Web,30.79,0,1,18,6,0,0
99,673.08,Barry and Sons,5261,South Joshua,iOS,15.81,0,1,0,6,0,0
100,578.98,Mccoy PLC,5261,Meyerville,iOS,23.79,0,3,14,11,0,0
101,696.74,Medina-Nichols,5942,New Dan,Web,1.48,0,3,3,10,0,0
102,159.75,Gregory and Sons,7299,South Danielland,iOS,18.69,0,2,18,11,0,0
103,503.18,Snow-Norton,7299,Sandraland,Web,13.47,0,2,1,9,0,0
104,943.6,"Rush, Robles and Adams",5942,East Shaneport,POS,44.19,0,5,7,3,0,0
105,866.13,Ramirez PLC,5942,Thomasfurt,Android,19.35,0,0,13,1,0,0
106,672.45,Zavala-Compton,7299,South Jason,Android,21.03,0,4,19,6,0,0
107,884.21,Hoffman-Lopez,5411,Campbellstad,Android,56.38,0,2,13,4,0,0
108,141.21,Young-Simpson,7299,Williambury,POS,9.21,0,2,0,4,0,0
109,100.48,Doyle Group,5411,South Joshuaview,POS,13.87,0,5,21,9,0,0
110,984.78,Dixon Group,5261,Josephland,POS,47.51,0,0,11,10,0,0
111,162.02,Miller and Sons,5261,South Jennifer,POS,59.1,0,3,19,5,0,0
112,309.75,"Bartlett, Ray and Gonzalez",5942,Lake Joelport,Web,24.15,0,2,14,10,0,0
113,712.78,Knapp-Johnson,5968,South Michellefurt,Android,30.74,0,5,13,4,0,0
114,733.42,Caldwell-Wood,5942,Lake Rebecca,Android,20.79,0,6,16,7,0,0
115,621.96,"Hull, Ewing and Hendricks",5812,Boydside,Web,10.13,0,1,14,7,0,0
116,118.31,Rosales-Singleton,5812,Munozton,iOS,7.83,0,1,11,11,0,0
117,923.58,Koch Inc,5942,North Arthurborough,iOS,46.47,0,3,3,9,0,0
118,404.99,"Duran, Dawson and Mason",5812,New Daniel,iOS,24.25,0,2,8,11,0,0
119,262.42,Cobb Inc,5968,Hillhaven,iOS,47.21,0,5,5,8,0,0
120,649.88,Avila LLC,5812,Mariaton,POS,44.73,0,4,0,5,0,0
121,113.49,Jackson Inc,5261,Kimberlyfort,iOS,43.64,0,4,13,11,0,0
122,648.79,Bradford-Mcguire,5812,Nicholastown,POS,4.54,0,0,1,2,0,0
123,725.0,Robertson-Weiss,5812,North Colleen,Web,16.84,0,3,19,5,0,0
124,213.42,"Garcia, Barry and Burch",5942,South Charlesport,Android,23.0,0,4,20,9,0,0
125,721.44,Chapman and Sons,5812,Jameschester,Web,17.73,0,4,0,4,0,0
126,854.88,Zuniga and Sons,5261,West Jacobbury,Web,58.17,0,4,6,7,0,0
127,547.77,Moore Inc,5261,South Kimberly,iOS,16.72,0,5,14,6,0,0
128,627.02,Boyd LLC,5411,West Christine,Web,15.83,0,1,16,11,0,0
129,84.15,"Munoz, Cooper and Wheeler",5968,Hernandezport,Android,57.94,0,0,8,8,0,0
130,285.14,Reed-Chandler,5261,Johnmouth,iOS,14.66,0,2,17,8,0,0
131,504.14,Burke-Phillips,5968,Andersonhaven,POS,37.61,0,2,23,6,0,0
132,425.6,"Gomez, Ashley and Gray",5812,Jacksonchester,Android,14.98,0,0,2,8,0,0
133,373.34,Anderson-Blackwell,7299,Port Stevenport,Android,1.97,0,0,12,5,0,0
134,90.1,Robinson-Bryant,5812,Lake Levifort,iOS,30.58,0,1,12,8,0,0
135,255.01,"Lucas, Hall and Stewart",5942,East Russell,Android,6.34,0,2,22,7,0,0
136,718.6,Foster PLC,5812,Herreraberg,POS,59.96,0,6,0,4,0,0
137,41.77,Hale and Sons,5942,Lake Scottstad,POS,46.55,0,5,17,9,0,0
138,943.32,Lee-Hunt,5812,Melaniemouth,POS,56.91,0,3,5,8,0,0
139,958.68,"Taylor, Martin and Sanders",7299,Lake Ralphbury,Web,37.64,0,1,15,11,0,0
140,996.6,Morales Ltd,5261,West Lancetown,Web,18.49,0,2,2,12,0,0
141,132.46,Phillips Ltd,5942,Lancehaven,Web,12.32,0,4,8,6,0,0
142,51.01,Gardner LLC,5812,Morrisside,POS,16.85,0,2,8,1,0,0
143,353.47,Casey Ltd,5411,West Ethan,Android,14.15,0,3,6,12,0,0
144,955.88,Velez-Ochoa,5261,Bellfort,iOS,19.21,0,2,4,12,0,0
145,79.43,Brown and Sons,5812,Brownmouth,POS,44.55,0,5,0,2,0,0
146,310.7,Williams-Richards,7299,Laurafort,Web,0.24,0,5,15,1,0,0
147,778.49,"Thompson, Clark and Schwartz",5812,Port Christopher,Android,54.88,0,5,9,11,0,0
148,444.0,"Silva, Morgan and Scott",7299,Gloriatown,Web,47.18,0,3,14,6,0,0
149,812.8,"Lee, King and Jones",5261,Katelynburgh,Web,9.75,0,4,15,3,0,0
150,505.35,Spears-Smith,5942,Randallside,Web,33.62,0,5,15,3,0,0
151,76.71,Nielsen LLC,5968,Braunborough,Web,18.43,0,5,14,6,0,0
152,160.51,"Davis, Nelson and Smith",7299,Lake Jennifer,iOS,11.73,0,6,16,11,0,0
153,563.17,"Soto, Adkins and Jones",5942,Lake Seanchester,POS,14.23,0,1,14,2,0,0
154,833.53,"Lopez, Butler and Moore",7299,West Jessica,Android,38.53,0,1,20,4,0,0
155,412.99,Sanford-Christian,5411,Lake Sharon,iOS,31.41,0,2,11,1,0,0
156,307.9,Ortega PLC,7299,Racheltown,POS,28.23,0,4,0,10,0,0
157,762.57,Hale LLC,5411,Travisburgh,POS,49.87,0,4,8,2,0,0
158,933.07,"Combs, Perkins and Sims",5411,West Ericburgh,Android,110.61,1,1,4,6,0,1
159,115.22,Mahoney Group,7299,Chadmouth,Web,57.54,0,0,16,9,0,0
160,231.83,"Wood, Durham and Olson",5968,North Jennifershire,Android,25.01,0,0,6,8,0,0
161,989.2,Jones LLC,5968,South Roberttown,iOS,51.35,0,6,6,11,0,0
162,379.55,Sharp-Sullivan,5968,Jillianmouth,POS,56.53,0,5,8,9,0,0
163,285.65,Fischer-Wallace,5411,South Karistad,Android,20.92,0,5,9,5,0,0
164,637.33,Robertson Ltd,5942,South Kaitlin,Android,27.61,0,2,3,4,0,0
165,473.6,Copeland Inc,7299,South Henry,iOS,19.78,0,3,19,1,0,0
166,139.86,Taylor Inc,5411,South Rodneyport,Android,43.03,0,5,6,4,0,0
167,189.75,Diaz Group,7299,Mcknightmouth,Web,32.84,0,2,13,4,0,0
168,17.59,Sanchez Group,5942,Davidborough,Web,1.34,0,6,13,4,0,0
169,476.26,"Young, Johnson and Wilson",5812,New Matthewchester,iOS,31.15,0,0,16,6,0,0
170,510.45,Stewart-Barron,7299,Smithbury,Android,4.84,0,0,18,10,0,0
171,99.58,Morris-Sanchez,7299,Benjaminville,Android,31.11,0,6,14,4,0,0
172,90.3,Walls Group,5411,South Jonathanmouth,iOS,14.7,0,4,10,1,0,0
173,974.92,"Fisher, Pennington and Johnson",7299,Lake Joseph,POS,9.3,0,0,21,12,0,0
174,634.94,Clarke-Lynn,5261,Janethaven,POS,47.86,0,4,19,11,0,0
175,363.4,"Kane, Wallace and Smith",5942,Smithstad,Android,49.94,0,2,2,5,0,0
176,939.2,Ellis-Howard,5942,South Emilyberg,Web,47.82,0,0,2,1,0,0
177,535.56,"Martinez, Romero and Morrison",5812,West Connorland,iOS,36.28,0,5,22,6,0,0
178,604.86,Olsen-Hunter,5411,Lake Kathyfort,Web,16.88,0,0,23,2,0,0
179,788.41,Hunt-Davis,5968,Douglasport,Android,25.42,0,4,10,9,0,0
180,541.27,Curry-Sims,5261,South Scott,iOS,15.55,0,5,9,4,0,0
181,286.58,Johnson-Horne,5261,Port Emilyberg,iOS,33.66,0,1,16,5,0,0
182,657.65,Walker-Arroyo,5968,East Kathleenville,Android,50.32,0,2,12,7,0,0
183,66.76,Rubio-Smith,7299,West Robertland,Android,54.49,0,5,23,5,0,0
184,882.98,Rogers-Smith,7299,Robinborough,POS,49.53,0,6,9,7,0,0
185,315.21,"Clark, Torres and Hanson",5968,New Shawn,POS,55.93,0,6,23,7,0,0
186,836.36,"Clarke, Adams and Sims",5968,South Marcus,Android,36.3,0,2,18,2,0,0
187,185.51,Boyle-Wolfe,5411,Craigton,Web,57.68,0,2,18,5,0,0
188,186.58,Powell-Watson,5942,Shawnfort,POS,9.12,0,3,18,3,0,0
189,723.73,Mcdaniel LLC,5411,Kristyside,POS,30.21,0,5,23,2,0,0
190,314.82,Young PLC,5968,Dayland,Web,22.09,0,4,12,10,0,0
191,693.54,Perez-Hendrix,5968,Lake Sharonmouth,Android,3.63,0,1,4,11,0,0
192,512.12,Parker-Holmes,5261,West Gregtown,iOS,59.07,0,4,10,8,0,0
193,681.88,"Paul, Young and Stephens",5411,Perezfort,iOS,44.45,0,2,23,5,0,0
194,858.19,Johnson PLC,5411,Justinberg,Android,20.98,0,0,14,2,0,0
195,445.6,Mack Ltd,5261,New Laurenchester,iOS,45.85,0,0,7,9,0,0
196,555.65,Burns LLC,5942,Lake Matthew,Android,36.48,0,5,4,2,0,0
197,517.84,Mays-Smith,5968,Rachaelburgh,Web,15.58,0,5,9,1,0,0
198,165.62,"Sullivan, Perez and Houston",5942,West Brian,POS,21.07,0,4,5,10,0,0
199,385.95,"Tate, Murphy and Miller",5942,New Maria,Android,1.93,0,3,10,6,0,0
200,136.85,"Ramirez, Roberts and Wood",7299,East Brandon,POS,38.23,0,6,7,12,0,0
201,690.54,"Ballard, Thomas and Moore",5942,Lake Andrea,POS,5.42,0,3,1,11,0,0
202,720.88,Hill-Johnson,5411,Lake Kylieton,Android,5.9,0,0,11,11,0,0
203,703.89,"Bishop, Watts and Bennett",5968,East Marystad,POS,23.23,0,2,0,10,0,0
204,787.87,"White, Foster and Thomas",5411,Nicoleland,Web,12.53,0,2,22,5,0,0
205,408.33,"Mills, Keller and Olson",7299,New Stevenland,iOS,45.29,0,0,1,4,0,0
206,93.72,Walters-Gibson,5261,Samanthafurt,Web,51.6,0,3,22,9,0,0
207,649.34,Holder-Jackson,5411,Bartonshire,POS,25.99,0,3,7,6,0,0
208,971.54,"Wilson, Mendoza and Johnson",7299,West Thomasport,iOS,40.36,0,0,14,5,0,0
209,898.17,Rivera-Price,5968,New Jamieberg,iOS,58.16,0,1,12,9,0,0
210,869.46,Ford-Bates,5411,Kellyside,iOS,8.66,0,4,20,6,0,0
211,628.28,Warren LLC,7299,New Soniahaven,Android,2.12,0,0,5,12,0,0
212,945.72,Walters and Sons,5968,Markview,Web,45.48,0,3,0,4,0,0
213,704.2,Carter Ltd,5261,Gouldtown,iOS,7.94,0,4,23,1,0,0
214,540.23,Lopez-Mclean,5968,Port Ashley,iOS,8.67,0,0,14,3,0,0
215,774.52,Anderson PLC,7299,Taylorburgh,Web,39.2,0,4,10,8,0,0
216,684.99,Davis Group,5968,Cabreraport,Android,46.96,0,3,17,3,0,0
217,673.6,Stanley Group,7299,Graveshaven,Web,9.87,0,5,13,4,0,0
218,148.0,"Hughes, Matthews and Meza",5942,Taraport,Android,28.82,0,1,2,7,0,0
219,551.29,Young-Perez,5968,Rayview,Android,23.82,0,4,17,1,0,0
220,67.06,Costa PLC,5968,Millermouth,Web,31.13,0,6,15,8,0,0
221,457.16,"Brock, Ramos and Blankenship",5812,New John,Android,40.71,0,4,6,11,0,0
222,406.38,Mack Ltd,5411,Philipchester,Android,17.28,0,4,23,5,0,0
223,86.34,Welch-Short,5942,Cortezshire,Android,2.2,0,6,18,10,0,0
224,64.84,Lester-Harris,5942,South Taylormouth,iOS,10.26,0,0,7,9,0,0
225,485.51,Hoover PLC,5812,South Ashley,iOS,29.44,0,5,4,11,0,0
226,387.07,Torres-Boyd,7299,West Michelle,iOS,7.21,0,0,18,6,0,0
227,258.17,Khan Group,7299,New Teresa,iOS,54.7,0,1,15,11,0,0
228,198.88,Cook Inc,5261,Angelastad,iOS,8.44,0,3,8,12,0,0
229,918.54,Dunn Inc,5411,Gordonshire,Web,56.79,0,3,21,1,0,0
230,695.92,"Brown, Obrien and Chan",5942,South Kennethmouth,Web,42.71,0,5,16,11,0,0
231,739.12,"Bryant, Brown and Kramer",5261,North Albert,POS,33.76,0,3,11,3,0,0
232,220.05,Perez-Scott,5812,Garciatown,iOS,13.07,0,2,11,1,0,0
233,341.04,Wolf-Miller,5411,Port Scott,POS,50.42,0,4,3,2,0,0
234,843.73,Rojas Ltd,5942,Hunterland,iOS,54.63,0,5,17,10,0,0
235,94.19,Barnes and Sons,5261,Lisaton,iOS,27.28,0,6,16,12,0,0
236,721.13,Garcia-Blanchard,5261,Mercadomouth,POS,18.61,0,1,18,1,0,0
237,419.59,"Perez, Hebert and Palmer",5968,Schultzchester,Android,24.27,0,3,13,1,0,0
238,939.34,Powell and Sons,5968,Jordanmouth,Android,28.24,0,6,14,5,0,0
239,986.08,Moreno LLC,5968,East Allisonport,iOS,0.2,0,0,9,3,0,0
240,3149.23,Mullins-Calderon,5942,Maxwellton,Android,72.61,1,2,2,11,1,0
241,168.18,Hall Group,5968,East Brianhaven,Web,14.59,0,6,11,5,0,0
242,889.36,Rodriguez PLC,5942,West Thomas,Android,40.36,0,4,7,10,0,0
243,985.51,"Harper, Nguyen and Thomas",5812,Paulhaven,Web,45.45,0,6,14,2,0,0
244,415.37,Davis and Sons,7299,Port Brandonborough,POS,51.64,0,2,5,7,0,0
245,446.23,"Peters, Carter and Fuller",5968,Fordville,POS,14.52,0,4,3,3,0,0
246,136.41,Hughes and Sons,5968,Kerrtown,Android,1.1,0,2,7,11,0,0
247,52.38,"Dunlap, Suarez and Martin",5812,Ramirezbury,Web,11.62,0,5,0,3,0,0
248,728.89,Gamble Ltd,5261,Josephfort,POS,39.94,0,0,20,2,0,0
249,181.78,"Davis, Ellison and Gilbert",5261,Jenniferville,Android,23.52,0,2,23,12,0,0
250,334.4,Pope-Willis,5968,West Saraville,Android,41.17,0,3,8,3,0,0
251,333.47,Anderson Ltd,5942,South Erin,Web,46.31,0,3,18,11,0,0
252,869.92,Smith-Simpson,7299,Wandatown,POS,7.63,0,5,11,5,0,0
253,926.65,"Bright, Floyd and Davis",5812,Williamsfort,POS,35.8,0,2,1,11,0,0
254,933.91,Lynn LLC,5812,North Jamesland,Web,6.62,0,0,16,5,0,0
255,218.28,Ross Group,5968,Lake Thomas,Android,10.71,0,4,15,3,0,0
256,215.04,"Byrd, Boyle and Alvarado",7299,North Toddtown,iOS,48.06,0,5,15,10,0,0
257,427.33,"Cameron, Weaver and Odom",5942,Haynesborough,POS,40.63,0,6,4,9,0,0
258,479.5,Cowan LLC,5812,New Kristen,POS,2.7,0,3,10,5,0,0
259,247.79,Terry Group,5942,North Eddie,POS,29.76,0,2,8,2,0,0
260,658.73,"Nguyen, Caldwell and Wilson",5411,New Wesleychester,iOS,12.23,0,5,8,5,0,0
261,738.97,"Wilkinson, Foster and Smith",5812,Farmerfort,iOS,2.35,0,4,5,3,0,0
262,638.77,Myers Inc,5812,West Anthony,POS,29.4,0,0,23,2,0,0
263,822.5,"Marquez, Smith and Rodriguez",5942,West Taylorstad,iOS,0.33,0,5,6,8,0,0
264,678.23,"Harrington, Klein and Fernandez",5812,Robertshire,Android,57.98,0,1,18,1,0,0
265,2433.88,Erickson Group,5812,North Cynthiaside,POS,67.61,1,3,14,6,1,0
266,343.86,Thomas-Mcdaniel,5411,Martinberg,iOS,7.09,0,6,21,2,0,0
267,75.25,"Stone, Rodriguez and Choi",5411,South Brian,POS,10.52,0,6,17,1,0,0
268,976.36,Wong-Thornton,5968,Andersonbury,Web,35.16,0,6,12,8,0,0
269,539.71,Campbell-Schroeder,5261,Flynnview,Web,14.74,0,1,10,3,0,0
270,828.74,Wright LLC,7299,Jeffreyburgh,Android,25.73,0,3,0,3,0,0
271,158.58,Cummings-Hickman,5942,Fischertown,Web,4.92,0,3,8,2,0,0
272,71.63,"Evans, Chan and Little",5812,South Jenna,Web,9.46,0,0,8,4,0,0
273,998.55,Hernandez-Marquez,5968,South Ericside,POS,42.19,0,4,13,9,0,0
274,482.59,Fletcher and Sons,5968,South Adrian,Web,25.28,0,4,16,8,0,0
275,113.72,"Jenkins, Ford and Jones",5968,East Holly,Web,48.2,0,4,8,1,0,0
276,690.96,Scott Inc,5812,East Joshua,POS,37.67,0,5,6,8,0,0
277,292.35,Boyd and Sons,5942,Briantown,POS,12.08,0,0,13,3,0,0
278,721.49,Stone-Tucker,5942,Dillonstad,Web,18.44,0,0,15,2,0,0
279,984.63,Perez-George,5942,Powellberg,Android,44.49,0,0,12,1,0,0
280,67.68,"Mcintosh, Sanders and Howard",5411,Lake Allisonville,POS,39.65,0,1,8,9,0,0
281,370.56,Harper-Fields,5261,South Lorifort,Android,4.86,0,2,13,9,0,0
282,415.83,"Vega, Farmer and Cameron",5942,Port Natalieberg,POS,22.78,0,5,10,6,0,0
283,334.51,Rodriguez PLC,5261,South Vickishire,Web,33.53,0,1,23,8,0,0
284,857.05,"Miller, Christian and Matthews",7299,Matthewburgh,Web,54.76,0,4,22,12,0,0
285,294.17,"Allen, Robertson and Mitchell",5968,Lake Franciscoside,Web,14.17,0,3,17,4,0,0
286,341.68,Richards-Adams,5411,East Tylermouth,iOS,19.37,0,4,16,11,0,0
287,378.08,"Gutierrez, Warren and Sims",7299,Julieville,Web,24.19,0,1,11,5,0,0
288,196.05,Soto-Gonzalez,5261,South Michaelfort,POS,1.45,0,5,1,11,0,0
289,946.66,Navarro-Gray,5261,Danielside,iOS,1.1,0,2,16,12,0,0
290,78.2,"Tyler, Lawrence and West",5812,East Katherine,Web,16.77,0,5,6,7,0,0
291,765.43,Smith Group,5968,North Josephstad,Android,9.06,0,3,20,8,0,0
292,536.01,Calderon Group,5812,Santiagoside,Web,5.62,0,2,20,1,0,0
293,481.79,Ellis Inc,5411,East Karenstad,Web,38.91,0,3,14,5,0,0
294,1423.09,Wallace-Andersen,5411,North Crystalberg,POS,68.02,1,5,3,10,0,0
295,789.32,"Moody, Reid and Allison",5411,Paulside,POS,11.49,0,1,4,12,0,0
296,683.94,"Roberts, Strong and Smith",5968,Francismouth,iOS,49.97,0,2,18,6,0,0
297,172.02,"Simmons, Harper and Johnson",5411,Anthonyland,iOS,35.16,0,0,21,7,0,0
298,483.76,Koch Ltd,5942,Port Kevin,POS,6.09,0,2,15,12,0,0
299,517.82,"Sanders, Harper and Rios",5942,Lake Nicholasview,Web,38.18,0,6,16,10,0,0
300,918.98,"Wood, Griffin and Roberts",5411,Mayotown,iOS,11.0,0,1,4,1,0,0
301,561.02,Baker and Sons,7299,Rosalesmouth,iOS,31.54,0,3,8,5,0,0
302,658.42,Lopez-Allen,5942,East William,iOS,50.82,0,6,14,6,0,0
303,725.15,Warner Ltd,5812,Dianetown,iOS,32.99,0,2,12,1,0,0
